CountSort
Elements, Best, Worst, Average
234, 636.283447, 633.516113, 520.060913
235, 644.058350, 640.131592, 521.516113
236, 645.485840, 652.353149, 533.381653
237, 655.988586, 652.145203, 538.498169
238, 654.568787, 648.954468, 538.949829
239, 672.726929, 666.335388, 540.414917
240, 694.922668, 670.383545, 560.381470
241, 671.802246, 677.498352, 548.498169
242, 677.010193, 672.339844, 555.179810
243, 679.990967, 673.044067, 551.718018
244, 689.569153, 681.064392, 554.221741
245, 684.646973, 689.306519, 563.552124
246, 679.874756, 685.010620, 560.755249
247, 679.217468, 689.031067, 562.315552
248, 701.001770, 696.523071, 568.271545
249, 696.750122, 698.912231, 570.277161
250, 682.934998, 690.811218, 565.907715
251, 699.973450, 703.011108, 572.760803
252, 713.667358, 724.411072, 617.926086
253, 713.956787, 705.051086, 576.812622
254, 706.785645, 699.475098, 573.221252
255, 707.818542, 707.537476, 582.592163
256, 713.651917, 727.673706, 593.319214
257, 705.155151, 721.917358, 580.621948
258, 697.625488, 698.991760, 571.472229
259, 697.562561, 701.439148, 573.287231
260, 703.066284, 701.793884, 575.478699
261, 702.696655, 703.649414, 575.927856
262, 706.129700, 711.755005, 577.482788
263, 736.062927, 724.425476, 586.048279
264, 751.106262, 728.902527, 585.624878
265, 720.810669, 716.420288, 584.052429
266, 721.971069, 718.962036, 587.795288
267, 720.397095, 720.156311, 591.959534
268, 742.479736, 744.945679, 606.805969
269, 726.987976, 733.534546, 597.150574
270, 727.938843, 730.803406, 597.965027
271, 734.553955, 730.750305, 599.326538
272, 732.145447, 736.125061, 604.742676
273, 738.134583, 748.082642, 605.214233
274, 747.283447, 764.498230, 616.601440
275, 748.788330, 757.409790, 615.660156
276, 747.678772, 754.911011, 619.745972
277, 743.887878, 756.831055, 615.274597
278, 757.858765, 749.273132, 614.697449
279, 756.125854, 754.347290, 617.609680
280, 754.752563, 752.334717, 620.460999
281, 772.295288, 771.023560, 620.336121
282, 787.869507, 763.052368, 623.203613
283, 769.166931, 765.775269, 628.620422
284, 793.936707, 778.897583, 629.112061
285, 783.683655, 773.069824, 640.591187
286, 801.538330, 796.187012, 634.709106
287, 774.763916, 783.078735, 642.120911
288, 772.066406, 777.917847, 637.402039
289, 776.816650, 784.591797, 643.770142
290, 803.821655, 815.199158, 660.677063
291, 827.902161, 820.789856, 675.087646
292, 836.670227, 831.688965, 679.638794
293, 835.957031, 843.738892, 682.313843
294, 830.505737, 892.033875, 687.321411
295, 867.000610, 900.313354, 712.092163
296, 808.170044, 813.411255, 660.089233
297, 807.117004, 803.091125, 653.618896
298, 809.061707, 804.229126, 655.411865
299, 839.476196, 850.372864, 696.531128
300, 851.807617, 829.387329, 710.063110
301, 863.550781, 838.768738, 726.496277
302, 823.724976, 819.706909, 676.209656
303, 815.422485, 820.180664, 666.150940
304, 821.202271, 832.588074, 674.755066
305, 829.360229, 837.248840, 685.455505
306, 836.466003, 854.504883, 676.525513
307, 839.536499, 855.230469, 679.032593
308, 833.183594, 830.733032, 690.543274
309, 835.658386, 837.103333, 687.334351
310, 837.105774, 839.040344, 682.443420
311, 839.300598, 836.574036, 683.834351
312, 840.210083, 843.377441, 686.663452
313, 843.960938, 868.317688, 715.576355
314, 845.496094, 852.621704, 711.837524
315, 847.719604, 851.752136, 694.473816
316, 858.411987, 856.325195, 696.627319
317, 867.541138, 871.082520, 702.082825
318, 888.334106, 891.088257, 721.448364
319, 909.063354, 924.808899, 743.654907
320, 872.836304, 866.890930, 707.795532
321, 865.533569, 862.759155, 709.859497
322, 868.373352, 880.415894, 710.675903
323, 915.517273, 918.971558, 755.077576
324, 930.981750, 894.417175, 737.877686
325, 880.958130, 890.201782, 737.827759
326, 890.465820, 883.830200, 723.782715
327, 886.356628, 892.102905, 729.458252
328, 895.225708, 894.910339, 725.125854
329, 888.212585, 885.570984, 729.282593
330, 894.251282, 915.247070, 737.878296
331, 924.455078, 929.634644, 736.817871
332, 904.175476, 948.443359, 742.951782
333, 895.927551, 901.354370, 730.225220
334, 897.872742, 895.955444, 733.272522
335, 901.977173, 901.975464, 735.647278
336, 911.607727, 899.767456, 737.464661
337, 910.300781, 904.396667, 746.666443
338, 905.840210, 909.039734, 742.196655
339, 910.214050, 909.354004, 742.879639
340, 942.931458, 942.705261, 776.317993
341, 922.363098, 919.590515, 749.221802
342, 977.946289, 989.039063, 803.892212
343, 959.414734, 940.373901, 779.559204
344, 946.451477, 951.957336, 766.855957
345, 1005.275208, 947.855652, 790.175659
346, 944.937500, 935.365601, 766.657593
347, 935.883667, 933.496582, 765.245728
348, 937.158325, 935.629578, 781.524597
349, 952.185852, 963.942871, 767.452393
350, 939.598511, 942.094360, 768.215210
351, 966.919922, 942.989441, 775.211548
352, 949.512024, 944.258911, 776.411194
353, 948.911133, 974.465942, 780.271118
354, 950.971069, 954.676575, 776.737122
355, 957.777161, 955.597778, 779.223755
356, 960.277710, 955.019836, 812.892395
357, 1102.247803, 1127.622070, 963.589172
358, 1122.544678, 1078.782227, 852.548828
359, 980.114441, 972.498230, 793.654907
360, 967.801453, 970.059875, 791.035522
361, 974.120117, 977.175964, 790.933533
362, 978.891968, 976.757629, 794.603394
363, 1013.289185, 1001.135742, 822.580383
364, 1020.388977, 1019.333618, 834.678040
365, 1077.048950, 1117.343262, 863.697876
366, 1077.494995, 1029.694214, 851.239746
367, 1018.189453, 990.749390, 806.434021
368, 996.319031, 994.784973, 810.643372
369, 1012.711914, 1018.778442, 839.644348
370, 1014.841187, 1008.267883, 820.894409
371, 1000.244141, 1008.156738, 813.639465
372, 998.814331, 1009.735657, 816.813965
373, 1039.121338, 1013.333496, 834.281372
374, 1020.752136, 1002.843445, 822.528137
375, 1007.615112, 1014.494446, 824.822876
376, 1008.361511, 1009.289368, 822.522278
377, 1010.246216, 1011.978882, 828.532227
378, 1011.584595, 1011.607910, 828.473145
379, 1016.538452, 1019.750854, 833.087280
380, 1018.553894, 1024.025146, 836.138794
381, 1029.065430, 1026.532471, 861.453796
382, 1047.786621, 1044.973267, 847.905396
383, 1034.888672, 1034.937256, 840.930481
384, 1037.908936, 1037.723633, 844.882996
385, 1068.750854, 1065.522461, 875.038391
386, 1082.015137, 1076.652344, 884.343872
