MergeSort
Elements, Best, Worst, Average
239, 5637.875488, 5657.573242, 5708.603027
240, 5797.017578, 5748.017578, 5693.110352
241, 5725.291992, 5744.161133, 5792.190918
242, 5785.188965, 5771.446289, 5784.398926
243, 5815.438965, 5760.574219, 5773.719727
244, 5809.653809, 5840.057129, 5816.261719
245, 5820.224609, 5828.395508, 5838.186523
246, 5922.672852, 5829.930176, 5927.838379
247, 5897.217773, 5912.333008, 5878.913574
248, 5862.481934, 5931.502930, 5995.751465
249, 6078.488281, 5984.380859, 5950.884766
250, 5981.528320, 5942.138184, 5985.838867
251, 5957.282715, 6110.633789, 5975.014648
252, 5974.067871, 5949.983398, 5990.241211
253, 6023.366699, 6017.118652, 6016.264160
254, 6038.216797, 6025.011719, 6014.186523
255, 6018.761719, 6158.560547, 6050.658203
256, 6080.336426, 6083.326172, 6131.536133
257, 6103.303711, 6096.422363, 6102.533691
258, 6152.390137, 6141.332031, 6134.483398
259, 6172.568848, 6349.443848, 6245.368164
260, 6205.536621, 6288.414551, 6208.366699
261, 6214.943848, 6225.151367, 6219.686523
262, 6268.374023, 6317.685547, 6387.118652
263, 6269.727539, 6263.938477, 6283.051758
264, 6303.972656, 6288.993652, 6311.465820
265, 6362.847168, 6343.209473, 6317.586914
266, 6341.174805, 6434.290527, 6355.229004
267, 6433.367676, 6411.909180, 6439.622559
268, 6434.637207, 6424.610352, 6459.512695
269, 6495.434082, 6423.821289, 6551.351563
270, 6469.443359, 6443.782227, 6483.104980
271, 6519.014648, 6492.078125, 6556.820313
272, 6566.721191, 6526.057617, 6536.852051
273, 6573.032715, 6588.445313, 6606.695313
274, 6621.663086, 6585.714844, 6610.359375
275, 6994.686523, 6989.431152, 6650.706055
276, 6677.928223, 6684.113281, 6651.180664
277, 6647.541992, 6730.830566, 6663.827148
278, 6700.984375, 6652.342773, 6719.692871
279, 6789.167969, 6720.193848, 6704.369629
280, 6774.066406, 6716.149414, 6734.237305
281, 6802.366211, 6759.514648, 6770.013184
