BubbleSort
Elements, Best, Worst, Average
262, 25264.785156, 40432.652344, 32891.679688
263, 25393.865234, 40624.398438, 33008.445313
264, 25838.498047, 41115.695313, 33443.496094
265, 26809.791016, 41519.441406, 33768.078125
266, 26276.056641, 41472.335938, 34121.726563
267, 26398.816406, 42184.671875, 34206.523438
268, 26706.140625, 42385.703125, 34492.261719
269, 26907.275391, 42939.550781, 34898.679688
270, 27677.255859, 42835.164063, 35234.019531
271, 27559.474609, 44753.097656, 35765.382813
272, 27416.505859, 44181.351563, 35856.277344
273, 27800.271484, 45511.695313, 36990.015625
274, 28842.443359, 45267.230469, 36660.062500
275, 28514.693359, 44937.761719, 37107.546875
276, 29491.488281, 45376.503906, 36602.429688
277, 28711.818359, 46316.269531, 36825.839844
278, 28804.082031, 45952.277344, 38086.343750
279, 28738.228516, 45734.433594, 37670.371094
280, 28812.484375, 45774.007813, 37712.906250
281, 29550.859375, 46102.285156, 37856.582031
282, 29496.597656, 46515.351563, 38014.246094
283, 29554.318359, 46964.664063, 39100.433594
284, 29681.562500, 47545.781250, 38802.902344
285, 30068.437500, 47756.367188, 38992.167969
286, 30113.031250, 47915.214844, 39301.703125
287, 30326.863281, 48506.863281, 39815.914063
288, 31478.119141, 48622.632813, 39929.269531
289, 31276.144531, 49157.312500, 40202.746094
290, 30982.912109, 49523.921875, 40467.140625
291, 31137.181641, 49601.343750, 40690.207031
292, 31311.509766, 50005.531250, 40939.726563
293, 32720.994141, 50584.570313, 41420.062500
294, 32090.978516, 51122.957031, 41788.437500
295, 32086.712891, 51276.871094, 41760.402344
296, 32413.281250, 51538.960938, 42006.570313
297, 32480.318359, 51694.015625, 42432.250000
298, 32662.582031, 52025.261719, 42474.785156
299, 33006.855469, 52491.199219, 42870.976563
300, 33629.023438, 52885.804688, 43221.382813
301, 33693.191406, 53308.199219, 43304.640625
302, 33671.769531, 53367.218750, 43743.699219
303, 34715.035156, 53793.976563, 44284.417969
304, 34569.691406, 54390.750000, 44621.617188
305, 34488.855469, 54944.343750, 45117.324219
306, 34494.707031, 55432.824219, 44913.507813
307, 35080.691406, 55524.445313, 45244.273438
308, 35224.179688, 55488.417969, 45526.585938
309, 35379.945313, 56306.093750, 46182.308594
310, 35560.593750, 56649.156250, 46433.453125
311, 35872.398438, 57129.625000, 46952.003906
312, 35933.363281, 57309.218750, 46948.265625
313, 36286.523438, 58047.898438, 47315.355469
314, 36446.332031, 58158.269531, 47392.757813
315, 37498.871094, 58172.269531, 47549.925781
316, 36860.117188, 58635.144531, 47835.273438
317, 37227.062500, 59037.632813, 48133.820313
318, 37600.914063, 59687.855469, 48899.730469
319, 37593.273438, 59804.468750, 48955.402344
320, 37821.851563, 60096.820313, 49022.082031
321, 38289.144531, 60653.148438, 49238.679688
322, 38523.101563, 61210.906250, 49682.015625
323, 38504.050781, 61175.394531, 49955.261719
324, 38616.757813, 61508.039063, 50110.695313
325, 39265.515625, 61836.074219, 50302.742188
326, 39231.601563, 62591.898438, 50705.902344
327, 39418.500000, 62805.425781, 51195.046875
328, 39690.113281, 63267.074219, 51148.644531
329, 39957.742188, 63658.355469, 51637.937500
330, 40200.324219, 64264.257813, 52063.042969
331, 40493.121094, 64923.867188, 52356.148438
332, 40711.632813, 64827.363281, 53230.855469
333, 40934.851563, 65260.156250, 53158.023438
334, 41300.023438, 66053.421875, 53354.894531
335, 41517.085938, 66445.000000, 53543.117188
336, 41830.187500, 66566.359375, 53656.312500
337, 41896.757813, 66763.859375, 54046.980469
338, 42176.777344, 67488.343750, 54416.300781
339, 42592.695313, 67843.328125, 54868.039063
340, 42774.808594, 68116.796875, 55159.851563
341, 42789.511719, 68279.468750, 55413.273438
342, 43361.851563, 69153.484375, 55800.992188
343, 43503.175781, 69303.234375, 56265.476563
344, 44542.207031, 70135.585938, 56487.031250
345, 44315.398438, 69988.804688, 56865.054688
346, 44183.539063, 70463.968750, 56999.082031
347, 44615.664063, 71049.640625, 57276.886719
348, 44648.425781, 71253.359375, 57531.000000
349, 45118.722656, 71644.703125, 58038.011719
350, 45305.300781, 72259.140625, 58271.363281
351, 45605.921875, 72640.085938, 58746.667969
352, 45854.339844, 73107.703125, 59265.187500
353, 46069.945313, 73448.914063, 59402.437500
354, 46646.007813, 74149.015625, 59971.355469
355, 46757.687500, 74767.281250, 60414.414063
356, 46696.769531, 74765.578125, 60275.582031
357, 47048.148438, 74904.953125, 60714.531250
358, 47227.695313, 75440.898438, 61055.445313
359, 47501.722656, 75857.226563, 61714.312500
360, 47809.523438, 76239.375000, 62290.238281
361, 48203.304688, 76522.492188, 62128.269531
362, 48494.054688, 77074.890625, 62815.195313
363, 48844.132813, 77898.718750, 62995.468750
364, 49140.074219, 78322.015625, 63349.707031
365, 49145.656250, 78587.367188, 63916.710938
366, 49481.914063, 79059.140625, 64172.531250
367, 49792.875000, 79400.375000, 64873.386719
368, 50136.753906, 79776.960938, 64777.070313
369, 50267.464844, 80405.585938, 64977.742188
370, 50690.507813, 80805.398438, 65814.921875
371, 50859.960938, 80939.609375, 65646.171875
372, 51246.265625, 81366.984375, 66105.054688
373, 51523.078125, 82208.585938, 66770.265625
374, 51729.300781, 82496.578125, 67282.265625
375, 51895.132813, 83245.015625, 68364.453125
376, 52385.835938, 83416.375000, 67658.046875
377, 52606.230469, 83785.929688, 68353.117188
378, 52751.593750, 84096.453125, 68177.703125
379, 53156.648438, 84345.953125, 68320.320313
380, 53260.523438, 84874.164063, 69040.093750
381, 53568.312500, 85502.687500, 69001.710938
382, 54375.710938, 86332.421875, 69455.953125
383, 54247.125000, 86381.523438, 70761.156250
384, 55044.417969, 89022.625000, 71333.421875
385, 54809.460938, 87334.554688, 70656.046875
386, 54776.820313, 87813.656250, 70669.828125
387, 55384.125000, 88079.390625, 71781.781250
